ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
333,UNIVERSITAS PADJADJARAN,13332071,KEBIDANAN,Sarjana Terapan,15.0,2187.0,145.8,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332072,TEKNOLOGI INDUSTRI KIMIA,Sarjana Terapan,18.0,1639.0,91.1,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332069,BISNIS INTERNASIONAL,Sarjana Terapan,30.0,2542.0,84.7,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332075,ADMINISTRASI PEMERINTAHAN,Sarjana Terapan,22.0,1835.0,83.4,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332070,PEMASARAN DIGITAL,Sarjana Terapan,19.0,1546.0,81.4,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332077,KEARSIPAN DIGITAL,Sarjana Terapan,15.0,1068.0,71.2,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13331020,TEKNIK INFORMATIKA,Sarjana,35.0,2487.0,71.1,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332074,ADMINISTRASI KEUANGAN PUBLIK,Sarjana Terapan,27.0,1661.0,61.5,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332078,BAHASA DAN BUDAYA TIONGKOK,Sarjana Terapan,16.0,910.0,56.9,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332067,AKUNTANSI PERPAJAKAN,Sarjana Terapan,45.0,2562.0,56.9,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13331064,BISNIS DIGITAL,Sarjana,37.0,2089.0,56.5,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13331052,ILMU KOMUNIKASI,Sarjana,46.0,2459.0,53.5,Sangat Ketat
332,INSTITUT TEKNOLOGI BANDUNG,13321017,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C),Sarjana,30.0,1584.0,52.8,Sangat Ketat
332,INSTITUT TEKNOLOGI BANDUNG,13321021,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K),Sarjana,67.0,3526.0,52.6,Sangat Ketat
333,UNIVERSITAS PADJADJARAN,13332079,MANAJEMEN PRODUKSI MEDIA,Sarjana Terapan,38.0,1968.0,51.8,Sangat Ketat
