ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
381,UNIVERSITAS AIRLANGGA,13813059,KEPERAWATAN,Diploma Tiga,60.0,5215.0,86.9,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13813045,BAHASA INGGRIS,Diploma Tiga,30.0,2489.0,83.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812046,KESELAMATAN DAN KESEHATAN KERJA,Sarjana Terapan,60.0,4783.0,79.7,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812062,FISIOTERAPI,Sarjana Terapan,36.0,2402.0,66.7,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831103,KEPERAWATAN,Sarjana,16.0,984.0,61.5,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13813047,PERPAJAKAN,Diploma Tiga,60.0,3620.0,60.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822033,TEKNIK SIPIL,Sarjana Terapan,42.0,2432.0,57.9,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832072,ADMINISTRASI NEGARA,Sarjana Terapan,75.0,4281.0,57.1,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812064,TEKNIK INFORMATIKA,Sarjana Terapan,36.0,2051.0,57.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812051,TEKNOLOGI LABORATORIUM MEDIK,Sarjana Terapan,45.0,2500.0,55.6,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831090,KEDOKTERAN,Sarjana,15.0,767.0,51.1,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732067,MANAJEMEN PEMASARAN,Sarjana Terapan,50.0,2519.0,50.4,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732068,AKUNTANSI,Sarjana Terapan,50.0,2479.0,49.6,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731086,KEPERAWATAN,Sarjana,16.0,762.0,47.6,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731085,KEDOKTERAN,Sarjana,16.0,745.0,46.6,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13723092,ADMINISTRASI BISNIS,Diploma Tiga,110.0,5018.0,45.6,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812050,DESTINASI PARIWISATA,Sarjana Terapan,27.0,1225.0,45.4,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831101,FISIOTERAPI,Sarjana,15.0,674.0,44.9,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821053,BISNIS DIGITAL,Sarjana,18.0,783.0,43.5,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812067,KEARSIPAN DAN INFORMASI DIGITAL,Sarjana Terapan,29.0,1233.0,42.5,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812063,TEKNOLOGI RADIOLOGI PENCITRAAN,Sarjana Terapan,60.0,2390.0,39.8,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812054,PERBANKAN DAN KEUANGAN,Sarjana Terapan,45.0,1765.0,39.2,Sangat Ketat
385,"UPN ""VETERAN"" JAWA TIMUR",13852028,BAHASA INGGRIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,Sarjana Terapan,24.0,915.0,38.1,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812065,TEKNOLOGI KESEHATAN GIGI,Sarjana Terapan,28.0,1067.0,38.1,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812056,MANAJEMEN PERKANTORAN DIGITAL,Sarjana Terapan,48.0,1770.0,36.9,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821048,KEDOKTERAN,Sarjana,15.0,546.0,36.4,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811001,KEDOKTERAN,Sarjana,90.0,3138.0,34.9,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732069,TATA BOGA,Sarjana Terapan,41.0,1428.0,34.8,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812049,MANAJEMEN PERHOTELAN,Sarjana Terapan,27.0,925.0,34.3,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721008,KEDOKTERAN,Sarjana,96.0,3295.0,34.3,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13723093,TEKNOLOGI INFORMASI,Diploma Tiga,111.0,3793.0,34.2,Sangat Ketat
371,UNIVERSITAS JEMBER,13713073,MANAJEMEN PERUSAHAAN,Diploma Tiga,32.0,1087.0,34.0,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731020,TEKNIK INFORMATIKA,Sarjana,43.0,1396.0,32.5,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721033,FARMASI,Sarjana,54.0,1695.0,31.4,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821051,REKAYASA KECERDASAN ARTIFISIAL,Sarjana,18.0,552.0,30.7,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721030,PENDIDIKAN DOKTER GIGI,Sarjana,50.0,1532.0,30.6,Sangat Ketat
