ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822033,TEKNIK SIPIL,Sarjana Terapan,42,2432,57.9,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832023,TEKNIK SIPIL,Sarjana Terapan,57,1715,30.1,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821012,TEKNIK SIPIL,Sarjana,59,1350,22.9,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721003,TEKNIK SIPIL,Sarjana,56,1238,22.1,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731015,TEKNIK SIPIL,Sarjana,52,846,16.3,Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831014,TEKNIK SIPIL,Sarjana,105,1177,11.2,Ketat
385,"UPN ""VETERAN"" JAWA TIMUR",13851010,TEKNIK SIPIL,Sarjana,80,778,9.7,Sedang
371,UNIVERSITAS JEMBER,13711017,TEKNIK SIPIL,Sarjana,68,601,8.8,Sedang
374,UIN MALANG,13741022,TEKNIK SIPIL,Sarjana,30,85,2.8,Longgar
386,UIN SUNAN AMPEL SURABAYA,13861009,TEKNIK SIPIL,Sarjana,65,160,2.5,Longgar
